Periodo;Ano;Mes;Atrativo;Adulto;Meia;Registro_original
2023-12;2023;Dez;Alpen Park;0.00;0.00;Não
2023-12;2023;Dez;Bondinhos Aéreos;90.00;45.00;Sim
2023-12;2023;Dez;Florybal;150.00;75.00;Sim
2023-12;2023;Dez;Le Jardin;0.00;0.00;Não
2023-12;2023;Dez;Mini Mundo;0.00;0.00;Não
2023-12;2023;Dez;Olivas de Gramado;169.00;0.00;Sim
2023-12;2023;Dez;Parque do Caracol;0.00;0.00;Não
2023-12;2023;Dez;Pé da Cascata;0.00;0.00;Não
2023-12;2023;Dez;Skyglass;150.00;0.00;Sim
2023-12;2023;Dez;Snowland;319.00;159.90;Sim
2024-01;2024;Jan;Alpen Park;0.00;0.00;Não
2024-01;2024;Jan;Bondinhos Aéreos;90.00;45.00;Sim
2024-01;2024;Jan;Florybal;0.00;0.00;Não
2024-01;2024;Jan;Le Jardin;0.00;0.00;Não
2024-01;2024;Jan;Mini Mundo;0.00;0.00;Não
2024-01;2024;Jan;Olivas de Gramado;0.00;0.00;Não
2024-01;2024;Jan;Parque do Caracol;0.00;0.00;Não
2024-01;2024;Jan;Pé da Cascata;0.00;0.00;Não
2024-01;2024;Jan;Skyglass;0.00;0.00;Não
2024-01;2024;Jan;Snowland;0.00;0.00;Não
2024-02;2024;Fev;Alpen Park;0.00;0.00;Não
2024-02;2024;Fev;Bondinhos Aéreos;90.00;0.00;Sim
2024-02;2024;Fev;Florybal;150.00;75.00;Sim
2024-02;2024;Fev;Le Jardin;0.00;0.00;Não
2024-02;2024;Fev;Mini Mundo;0.00;0.00;Não
2024-02;2024;Fev;Olivas de Gramado;169.00;0.00;Sim
2024-02;2024;Fev;Parque do Caracol;0.00;0.00;Não
2024-02;2024;Fev;Pé da Cascata;0.00;0.00;Não
2024-02;2024;Fev;Skyglass;150.00;0.00;Sim
2024-02;2024;Fev;Snowland;299.00;159.50;Sim
2024-03;2024;Mar;Alpen Park;0.00;0.00;Não
2024-03;2024;Mar;Bondinhos Aéreos;90.00;0.00;Sim
2024-03;2024;Mar;Florybal;150.00;75.00;Sim
2024-03;2024;Mar;Le Jardin;0.00;0.00;Não
2024-03;2024;Mar;Mini Mundo;0.00;0.00;Não
2024-03;2024;Mar;Olivas de Gramado;169.00;0.00;Sim
2024-03;2024;Mar;Parque do Caracol;0.00;0.00;Não
2024-03;2024;Mar;Pé da Cascata;0.00;0.00;Não
2024-03;2024;Mar;Skyglass;150.00;0.00;Sim
2024-03;2024;Mar;Snowland;299.00;159.50;Sim
2024-04;2024;Abr;Alpen Park;0.00;0.00;Não
2024-04;2024;Abr;Bondinhos Aéreos;0.00;0.00;Não
2024-04;2024;Abr;Florybal;0.00;0.00;Não
2024-04;2024;Abr;Le Jardin;0.00;0.00;Não
2024-04;2024;Abr;Mini Mundo;0.00;0.00;Não
2024-04;2024;Abr;Olivas de Gramado;0.00;0.00;Não
2024-04;2024;Abr;Parque do Caracol;0.00;0.00;Não
2024-04;2024;Abr;Pé da Cascata;0.00;0.00;Não
2024-04;2024;Abr;Skyglass;0.00;0.00;Não
2024-04;2024;Abr;Snowland;0.00;0.00;Não
2024-05;2024;Mai;Alpen Park;0.00;0.00;Não
2024-05;2024;Mai;Bondinhos Aéreos;0.00;0.00;Não
2024-05;2024;Mai;Florybal;0.00;0.00;Não
2024-05;2024;Mai;Le Jardin;0.00;0.00;Não
2024-05;2024;Mai;Mini Mundo;0.00;0.00;Não
2024-05;2024;Mai;Olivas de Gramado;0.00;0.00;Não
2024-05;2024;Mai;Parque do Caracol;0.00;0.00;Não
2024-05;2024;Mai;Pé da Cascata;0.00;0.00;Não
2024-05;2024;Mai;Skyglass;0.00;0.00;Não
2024-05;2024;Mai;Snowland;0.00;0.00;Não
2024-06;2024;Jun;Alpen Park;0.00;0.00;Não
2024-06;2024;Jun;Bondinhos Aéreos;0.00;0.00;Não
2024-06;2024;Jun;Florybal;0.00;0.00;Não
2024-06;2024;Jun;Le Jardin;0.00;0.00;Não
2024-06;2024;Jun;Mini Mundo;0.00;0.00;Não
2024-06;2024;Jun;Olivas de Gramado;0.00;0.00;Não
2024-06;2024;Jun;Parque do Caracol;0.00;0.00;Não
2024-06;2024;Jun;Pé da Cascata;0.00;0.00;Não
2024-06;2024;Jun;Skyglass;0.00;0.00;Não
2024-06;2024;Jun;Snowland;0.00;0.00;Não
2024-07;2024;Jul;Alpen Park;0.00;0.00;Não
2024-07;2024;Jul;Bondinhos Aéreos;90.00;0.00;Sim
2024-07;2024;Jul;Florybal;150.00;75.00;Sim
2024-07;2024;Jul;Le Jardin;0.00;0.00;Não
2024-07;2024;Jul;Mini Mundo;0.00;0.00;Não
2024-07;2024;Jul;Olivas de Gramado;99.00;0.00;Sim
2024-07;2024;Jul;Parque do Caracol;0.00;0.00;Não
